;pt1	pt2	distance	type 
31	32	99.718551947399177	Q20220720101510 
32	31	99.718551947399177	Q20220720101510 
32	33	99.718551947228960	Q20220720101510 
33	32	99.718551947228960	Q20220720101510 
33	34	19.689630120713250	Q20220720101510 
34	33	19.689630120713250	Q20220720101510 
34	35	80.028921826504103	Q20220720101510 
35	34	80.028921826504103	Q20220720101510 
35	36	99.718551947353788	Q20220720101510 
36	35	99.718551947353788	Q20220720101510 
36	37	99.718551947353788	Q20220720101510 
37	36	99.718551947353788	Q20220720101510 
37	38	24.974521135426823	Q20220720101510 
38	37	24.974521135426823	Q20220720101510 
38	39	74.744030811918876	Q20220720101510 
39	38	74.744030811918876	Q20220720101510 
39	40	99.718551947504650	Q20220720101510 
40	39	99.718551947504650	Q20220720101510 
40	41	45.892822282970364	Q20220720101510 
41	40	45.892822282970364	Q20220720101510 
41	42	53.825729664168527	Q20220720101510 
42	41	53.825729664168527	Q20220720101510 
42	43	99.718551947127040	Q20220720101510 
43	42	99.718551947127040	Q20220720101510 
43	44	38.364791015707411	Q20220720101510 
44	43	38.364791015707411	Q20220720101510 
44	45	61.353760931584269	Q20220720101510 
45	44	61.353760931584269	Q20220720101510 
45	46	80.134831282983299	Q20220720101510 
46	45	80.134831282983299	Q20220720101510 
46	47	19.583720664202378	Q20220720101510 
47	46	19.583720664202378	Q20220720101510 
47	48	99.718551947348374	Q20220720101510 
48	47	99.718551947348374	Q20220720101510 
48	49	32.606904669283466	Q20220720101510 
49	48	32.606904669283466	Q20220720101510 
49	50	67.111647277889119	Q20220720101510 
50	49	67.111647277889119	Q20220720101510 
50	51	99.718551947302217	Q20220720101510 
51	50	99.718551947302217	Q20220720101510 
51	52	99.718551947302217	Q20220720101510 
52	51	99.718551947302217	Q20220720101510 
52	53	99.718551947302217	Q20220720101510 
53	52	99.718551947302217	Q20220720101510 
53	54	99.718551947302217	Q20220720101510 
54	53	99.718551947302217	Q20220720101510 
54	55	99.718551947302217	Q20220720101510 
55	54	99.718551947302217	Q20220720101510 
55	56	99.718551947302217	Q20220720101510 
56	55	99.718551947302217	Q20220720101510 
56	57	99.718551947302217	Q20220720101510 
57	56	99.718551947302217	Q20220720101510 
57	58	99.718551947342050	Q20220720101510 
58	57	99.718551947342050	Q20220720101510 
58	59	99.718551947342050	Q20220720101510 
59	58	99.718551947342050	Q20220720101510 
59	60	27.084949389493438	Q20220720101510 
60	59	27.084949389493438	Q20220720101510 
60	61	72.633602557983778	Q20220720101510 
61	60	72.633602557983778	Q20220720101510 
61	62	99.718551947244677	Q20220720101510 
62	61	99.718551947244677	Q20220720101510 
62	63	99.718551947263407	Q20220720101510 
63	62	99.718551947263407	Q20220720101510 
63	64	99.718551947244677	Q20220720101510 
64	63	99.718551947244677	Q20220720101510 
64	65	40.717832215667102	Q20220720101510 
65	64	40.717832215667102	Q20220720101510 
65	66	59.000719731414343	Q20220720101510 
66	65	59.000719731414343	Q20220720101510 
66	67	99.718551947099485	Q20220720101510 
